m,A,split1,still1,split2,still2,split3,still3
21,131,31.848275930979288,22.79844723787907,8.185742500918415,14.236061936704827,14.754645495959023,8.690126269908683
21,141,31.64386331685605,23.62553095250677,8.315698496339932,13.86173863245681,14.450501518324769,8.699032263298538
21,151,32.128063455054445,21.599650310997262,8.848843806168832,13.558647233822743,14.26788604527297,8.971884358868463
21,161,32.00178272078073,22.14173181912227,8.543031427823436,13.85684096710996,14.488230393114012,8.874958380214535
21,171,31.681564868484248,23.465265200081646,8.178801420444973,14.081953545442158,14.592406192642999,8.859929336367987
21,181,31.739046177472535,23.230589211593458,7.969819506795744,14.448149655767528,14.931951886589484,8.733845145523336
21,191,31.66808877259116,23.515700105716512,8.197141608005614,14.049414405803567,14.568932603429815,8.90864501563643
21,201,31.462309167943243,24.32834969304601,8.203533978270457,13.8832858026136,14.482239287903278,8.746880816828321
21,211,32.42157447304665,20.254719495737756,8.749865536069267,14.020691023796006,14.682035373520302,9.111909849656916
21,221,32.08557603690751,21.77004393757497,8.768331010733569,13.64792657724257,14.370595248655919,9.049376424134143
21,231,31.58234398936021,23.853293152017496,8.108079227924915,14.112871412404315,14.613433909407819,8.947567077408852
21,241,32.41066278913776,20.30229194214883,8.602485985480909,14.219635998102802,14.843352521498318,9.11048139034963
21,251,31.769626146438913,23.09751992130402,8.052505362258474,14.374275010910479,14.90425367545631,8.841113475635758
21,261,32.507695423681135,19.8386503850822,8.788679159671684,14.067299920517245,14.745561196335286,9.19731598770735
21,271,31.69929107978784,23.38220186190881,7.906462592167994,14.52111677534049,15.010897809840335,8.817418173274511
21,281,32.39977926243917,20.35009360126382,8.991081605745743,13.647697560108938,14.52198254369675,9.033445490055083
21,291,31.358584779012133,24.72279802390391,8.377239982754187,13.57608588921806,14.2606631241436,8.866383196723083
21,301,32.061438938440055,21.86866611954576,8.724792982331879,13.70395594400409,14.435486718168313,9.09956336523211
21,311,31.784941625601686,23.03150190698021,8.088007945514935,14.331597015693323,14.879156139572522,8.89011059620251
21,321,31.4203473079614,24.483447729494447,7.973936025055049,14.189014122566862,14.652891335759625,9.016616655772943
21,331,32.05542033187763,21.893464161416993,8.714192970875896,13.718532759766427,14.452414614173914,9.1127833163594
21,341,32.59099567954616,19.426733973771253,8.702011027274796,14.288580442597059,14.942017176859162,9.26003162560617
21,351,31.059235280362156,25.84862758622587,8.04642075319347,13.827452214715738,14.4408127377667,8.760185484857844
21,361,31.679489920037717,23.45877234813849,7.876255487089405,14.56059020913472,15.054137860456759,8.862629756803104
21,371,32.22098130704113,21.164618660476116,9.127415725858572,13.297733224058453,14.147486035838464,9.291634461322552
21,381,32.68106840928325,18.96970188783245,8.804424749936715,14.253000033045524,14.934099721598976,9.329863288594476
21,391,32.133368620844536,21.55241070748075,8.90266853789958,13.516628795844406,14.305337447411112,9.206245888942039
21,401,31.406401509432186,24.535597173626165,8.11440695308644,13.994008075316767,14.48452560290971,9.14698747783866
21,411,31.923841879222653,22.452118765081963,8.41395369278787,14.030880284797984,14.69083003245438,9.042041494622156
21,421,32.378095354078205,20.446384502767152,9.543198454818908,12.867457136695043,13.82985087112822,9.487202654441216
21,431,32.76742642183136,18.52009424258165,8.864716591889694,14.275072804397931,14.969684255206403,9.392261916595325
21,441,32.04037943442805,21.9556943927736,8.681108200656436,13.747890008996064,14.481561268261158,9.14011131337471
21,451,31.044365385506055,25.902014550749954,8.431117529198612,13.283635277414524,14.026573120648935,8.919490968088304
21,461,31.534804509786362,24.033603558856964,7.590556605622477,14.846620350725392,15.25614049348347,8.83056376079769
21,471,31.978019041420875,22.222154963149205,8.543081285152159,13.905479757455883,14.607456679334929,9.104116055588142
21,481,32.37269145825031,20.470600453034322,9.53274409660584,12.88388465542861,13.849913096124201,9.499626873308356
21,491,32.717668472255724,18.779223253645043,9.489033687390524,13.325913068527642,14.431048482228501,9.194876196027955
31,1,21.498557103460612,77.75939811197988,66.85382683232135,32.268526232724234,37.223980920495556,60.74531252019034
31,11,35.42168048968373,31.777219414391627,21.826895316211015,28.93872836912768,10.685293479961164,35.89392538525749
31,21,33.0531849764282,24.80014014026267,14.575340296370817,19.8563716306227,23.571415038635486,11.387502601335342
31,31,32.47388353064946,23.6465137544932,6.573501145043757,15.275086507133675,17.254479019858426,14.482448578128224
31,41,32.254268098637624,23.290265626224105,10.18519350334611,13.67726679565879,11.799286893939124,12.673897475520121
31,51,32.229911364343714,22.812271076417446,9.403514511121541,12.609338230382358,10.98303465172719,8.01185149797628
31,61,32.210647169526084,22.567523721592273,9.040383362320178,11.70022444900664,12.866473524341004,11.190656035913975
31,71,32.00639955362007,23.202985462395876,8.726027983735404,11.40342409961433,12.605619375117552,4.383105953667916
31,81,32.32403762070393,21.75493654793666,8.692370665545702,11.224169125628535,12.559535831653754,4.417570577445167
31,91,32.038965329465896,22.859952501376533,8.391450129389895,11.242653542029833,12.536913685138007,4.3756545891514085
31,101,32.369685387817505,21.392393329697434,8.564868399539636,10.957190790640773,12.423882918100743,4.3820130933917305
31,111,32.34531609233024,21.447918513220255,8.462589349146555,10.960690881083904,12.443568190398677,4.3879206983223495
31,121,31.961627211622023,23.03302285632978,8.286776211761824,10.90291505027841,12.326357084356163,4.3140829788102915
31,131,32.00782574127411,22.816029661062448,8.197517410228777,11.018083704076858,12.44509595455387,4.341464886870842
31,141,31.800473195107493,23.63546074363346,8.212093700158851,10.790090973352598,12.252089251870485,4.237127791848566
31,151,32.283486915785396,21.60566444404167,8.50616099516039,10.480816411645884,12.166103329240164,4.2701318290811
31,161,32.1553008338917,22.142695671304697,8.316407193141828,10.684223554860223,12.288600323924936,4.301317845699663
31,171,31.833358215938613,23.461601697886177,8.087675142626372,10.879962261689393,12.357573432754958,4.313238889756753
31,181,31.889757743882583,23.22391192773804,7.983362253733982,11.097325477634417,12.536381530873705,4.360640818143579
31,191,31.817812116916866,23.50623400143247,8.069927391613481,10.844033528109511,12.350954805444196,4.30939998541445
31,201,31.611163300620188,24.31631756555176,8.042590948108604,10.768450808387135,12.267704772101041,4.20803115564293
31,211,32.56958624499863,20.242214377979202,8.403788921073327,11.149285396847752,12.439310542100772,4.413657366598018
31,221,32.233085957266894,21.75522308782444,8.370565871334582,10.898479104324254,12.241971771073937,4.2823573487054825
31,231,31.729450204935578,23.836373693798205,7.985247822532838,10.880764475340008,12.390782388073216,4.315958200999167
31,241,32.55676232733277,20.284987310548825,8.308939256282258,11.283037251416033,12.538973496031055,4.450321143973249
31,251,31.915802818245613,23.07834425286338,7.9717125459057705,11.009909364534852,12.537957467588996,4.356930816425103
31,261,32.65271363038863,19.819142316882996,8.400840073521543,11.15111202314807,12.496853046687505,4.445041160192444
31,271,31.84481023454942,23.361048847308354,7.8871378230057285,11.113236216867277,12.600667886381272,4.373891506925098
31,281,32.54422922347324,20.328636339609453,8.48006699320814,10.840288560244968,12.309890836292615,4.300969694887394
31,291,31.503737954917877,24.699949674393253,8.062360548288886,10.8917337480102,12.255835421051204,10.337247926845059
31,301,32.20580698219784,21.845511613903383,8.30788666828607,10.912992739425233,12.304309016522781,10.618674285373007
31,311,31.92940381068066,23.007618191833508,7.965465354449049,11.401178651482354,12.538568191858278,4.358940897337543
31,321,31.564871054528137,24.458887318888962,7.8687338639298945,10.943056543042186,12.514429084875697,10.612686544827108
31,331,32.199158102170486,21.868631947105776,8.293883343511858,10.919095444014689,12.322034498214778,10.631217884454589
31,341,32.733523358144915,19.401697338077607,8.340479155299606,11.292482220329967,12.633558163191461,4.508895142697661
31,351,31.203487672664714,25.8227099866501,7.855613013341302,11.093119107278852,12.35911902119996,10.291072641964078
31,361,31.823209953804906,23.43257707519945,7.847640836044512,11.574804324793805,12.644454955741724,4.383733619882061
31,371,32.363817479603,21.138204769535818,8.508254856535821,10.585627085676768,12.265982821044538,10.669988839628298
31,381,32.822679316149035,18.945618083418562,8.392353686174964,11.251995935660647,12.64495034524669,4.5245398913007335
31,391,32.27613314998756,21.525346883802385,8.38070352595475,10.75378322618222,12.340229662149223,10.661980360188824
